state,district,mandal,village
ANDHRA PRADESH,Adilabad,Kouthala,Bhalepalle
ANDHRA PRADESH,Adilabad,Kouthala,Gundaipeta
ANDHRA PRADESH,Adilabad,Kouthala,Thumbadihatti
ANDHRA PRADESH,Adilabad,Kouthala,Ranvalli
ANDHRA PRADESH,Adilabad,Kouthala,Gudlabori
ANDHRA PRADESH,Adilabad,Kouthala,Mogadagad
ANDHRA PRADESH,Adilabad,Kouthala,Chandaram
ANDHRA PRADESH,Adilabad,Kouthala,Kumbari
ANDHRA PRADESH,Adilabad,Kouthala,Muthampet
ANDHRA PRADESH,Adilabad,Kouthala,Kouthala
ANDHRA PRADESH,Adilabad,Kouthala,Talodi
ANDHRA PRADESH,Adilabad,Kouthala,Nagepalle
ANDHRA PRADESH,Adilabad,Kouthala,Babapur
ANDHRA PRADESH,Adilabad,Kouthala,Ravindranagar
